"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15981","Login","chromium","Fri Nov 01 01:14:13 GMT 2024","failed","Fri Nov 01 01:14:29 GMT 2024","","SmokeTests.spec.js","",""
"","1","Create Order","chromium","Fri Nov 01 01:14:29 GMT 2024","skipped","Fri Nov 01 01:14:29 GMT 2024","","SmokeTests.spec.js","",""
"","0","FAQ page","chromium","Fri Nov 01 01:14:29 GMT 2024","skipped","Fri Nov 01 01:14:29 GMT 2024","","SmokeTests.spec.js","",""
"","1","Sign Out","chromium","Fri Nov 01 01:14:29 GMT 2024","skipped","Fri Nov 01 01:14:29 GMT 2024","","SmokeTests.spec.js","",""
