"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 08 01:03:27 GMT 2024","Mon Jul 08 01:03:27 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"passed","Mon Jul 08 01:01:09 GMT 2024","Mon Jul 08 01:01:27 GMT 2024","17716","chromium","SmokeTests.spec.js","","","","Login",""
"broken","Mon Jul 08 01:01:27 GMT 2024","Mon Jul 08 01:03:27 GMT 2024","120156","chromium","SmokeTests.spec.js","","","","Create Order",""
"skipped","Mon Jul 08 01:03:27 GMT 2024","Mon Jul 08 01:03:27 GMT 2024","1","chromium","SmokeTests.spec.js","","","","Sign Out",""
