"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 21 01:10:50 GMT 2024","Mon Oct 21 01:10:50 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"skipped","Mon Oct 21 01:10:50 GMT 2024","Mon Oct 21 01:10:50 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"failed","Mon Oct 21 01:10:28 GMT 2024","Mon Oct 21 01:10:50 GMT 2024","21912","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Mon Oct 21 01:10:50 GMT 2024","Mon Oct 21 01:10:50 GMT 2024","1","chromium","SmokeTests.spec.js","","","","FAQ page",""
