"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 13 00:53:34 GMT 2024","Wed Mar 13 00:53:44 GMT 2024","10160","chromium","SmokeTests.spec.js","","","","Change User Name",""
"passed","Wed Mar 13 00:53:17 GMT 2024","Wed Mar 13 00:53:26 GMT 2024","9044","chromium","SmokeTests.spec.js","","","","Create Order",""
"passed","Wed Mar 13 00:52:47 GMT 2024","Wed Mar 13 00:53:17 GMT 2024","30438","chromium","SmokeTests.spec.js","","","","Login",""
"passed","Wed Mar 13 00:53:26 GMT 2024","Wed Mar 13 00:53:34 GMT 2024","7159","chromium","SmokeTests.spec.js","","","","Sign Out",""
