"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 00:57:18 GMT 2024","Sun Apr 21 00:57:32 GMT 2024","13815","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Sun Apr 21 00:59:32 GMT 2024","Sun Apr 21 00:59:32 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"skipped","Sun Apr 21 00:59:32 GMT 2024","Sun Apr 21 00:59:32 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"broken","Sun Apr 21 00:57:32 GMT 2024","Sun Apr 21 00:59:32 GMT 2024","120190","chromium","SmokeTests.spec.js","","","","Create Order",""
