"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 09 00:57:15 GMT 2024","Thu May 09 00:57:15 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"passed","Thu May 09 00:54:59 GMT 2024","Thu May 09 00:55:15 GMT 2024","15831","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Thu May 09 00:57:15 GMT 2024","Thu May 09 00:57:15 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"broken","Thu May 09 00:55:15 GMT 2024","Thu May 09 00:57:15 GMT 2024","120176","chromium","SmokeTests.spec.js","","","","Create Order",""
