"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","FAQ page","chromium","Mon Nov 11 01:09:46 GMT 2024","skipped","Mon Nov 11 01:09:46 GMT 2024","","SmokeTests.spec.js","",""
"","1","Sign Out","chromium","Mon Nov 11 01:09:46 GMT 2024","skipped","Mon Nov 11 01:09:46 GMT 2024","","SmokeTests.spec.js","",""
"","22514","Login","chromium","Mon Nov 11 01:09:23 GMT 2024","failed","Mon Nov 11 01:09:46 GMT 2024","","SmokeTests.spec.js","",""
"","1","Create Order","chromium","Mon Nov 11 01:09:46 GMT 2024","skipped","Mon Nov 11 01:09:46 GMT 2024","","SmokeTests.spec.js","",""
