"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 29 00:57:51 GMT 2024","Mon Apr 29 00:57:51 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"skipped","Mon Apr 29 00:57:51 GMT 2024","Mon Apr 29 00:57:51 GMT 2024","1","chromium","SmokeTests.spec.js","","","","FAQ page",""
"broken","Mon Apr 29 00:55:51 GMT 2024","Mon Apr 29 00:57:51 GMT 2024","120165","chromium","SmokeTests.spec.js","","","","Create Order",""
"passed","Mon Apr 29 00:55:31 GMT 2024","Mon Apr 29 00:55:51 GMT 2024","19994","chromium","SmokeTests.spec.js","","","","Login",""
