"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Mar 23 00:51:36 GMT 2024","Sat Mar 23 00:51:36 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"skipped","Sat Mar 23 00:51:36 GMT 2024","Sat Mar 23 00:51:36 GMT 2024","1","chromium","SmokeTests.spec.js","","","","Change User Name",""
"skipped","Sat Mar 23 00:51:36 GMT 2024","Sat Mar 23 00:51:36 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"failed","Sat Mar 23 00:50:55 GMT 2024","Sat Mar 23 00:51:36 GMT 2024","41279","chromium","SmokeTests.spec.js","","","","Login",""
