"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 26 00:58:51 GMT 2024","Wed Jun 26 00:58:52 GMT 2024","1476","chromium","SmokeTests.spec.js","","","","FAQ page",""
"skipped","Wed Jun 26 00:58:52 GMT 2024","Wed Jun 26 00:58:52 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"passed","Wed Jun 26 00:58:27 GMT 2024","Wed Jun 26 00:58:41 GMT 2024","13867","chromium","SmokeTests.spec.js","","","","Login",""
"passed","Wed Jun 26 00:58:41 GMT 2024","Wed Jun 26 00:58:51 GMT 2024","10200","chromium","SmokeTests.spec.js","","","","Create Order",""
