"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 18 01:01:35 GMT 2024","Thu Jul 18 01:01:35 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"passed","Thu Jul 18 00:59:20 GMT 2024","Thu Jul 18 00:59:35 GMT 2024","15144","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Thu Jul 18 01:01:35 GMT 2024","Thu Jul 18 01:01:35 GMT 2024","1","chromium","SmokeTests.spec.js","","","","Sign Out",""
"broken","Thu Jul 18 00:59:35 GMT 2024","Thu Jul 18 01:01:35 GMT 2024","120156","chromium","SmokeTests.spec.js","","","","Create Order",""
