"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 15 03:18:45 GMT 2024","Mon Apr 15 03:18:45 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"passed","Mon Apr 15 03:16:31 GMT 2024","Mon Apr 15 03:16:45 GMT 2024","14122","chromium","SmokeTests.spec.js","","","","Login",""
"broken","Mon Apr 15 03:16:45 GMT 2024","Mon Apr 15 03:18:45 GMT 2024","120176","chromium","SmokeTests.spec.js","","","","Create Order",""
"skipped","Mon Apr 15 03:18:45 GMT 2024","Mon Apr 15 03:18:45 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
