"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 01 00:59:37 GMT 2024","Wed May 01 00:59:37 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"failed","Wed May 01 00:58:07 GMT 2024","Wed May 01 00:59:37 GMT 2024","90476","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Wed May 01 00:59:37 GMT 2024","Wed May 01 00:59:37 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"skipped","Wed May 01 00:59:37 GMT 2024","Wed May 01 00:59:37 GMT 2024","1","chromium","SmokeTests.spec.js","","","","FAQ page",""
