"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 06 01:13:28 GMT 2024","Sun Oct 06 01:13:28 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"skipped","Sun Oct 06 01:13:28 GMT 2024","Sun Oct 06 01:13:28 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"failed","Sun Oct 06 01:13:10 GMT 2024","Sun Oct 06 01:13:28 GMT 2024","17507","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Sun Oct 06 01:13:28 GMT 2024","Sun Oct 06 01:13:28 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
