"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15261","Login","chromium","Thu Nov 28 01:13:42 GMT 2024","failed","Thu Nov 28 01:13:57 GMT 2024","","SmokeTests.spec.js","",""
"","0","Create Order","chromium","Thu Nov 28 01:13:57 GMT 2024","skipped","Thu Nov 28 01:13:57 GMT 2024","","SmokeTests.spec.js","",""
"","0","Sign Out","chromium","Thu Nov 28 01:13:57 GMT 2024","skipped","Thu Nov 28 01:13:57 GMT 2024","","SmokeTests.spec.js","",""
"","1","FAQ page","chromium","Thu Nov 28 01:13:57 GMT 2024","skipped","Thu Nov 28 01:13:57 GMT 2024","","SmokeTests.spec.js","",""
