"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 24 00:57:50 GMT 2024","Sun Mar 24 00:57:50 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"failed","Sun Mar 24 00:57:09 GMT 2024","Sun Mar 24 00:57:50 GMT 2024","41211","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Sun Mar 24 00:57:50 GMT 2024","Sun Mar 24 00:57:50 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Change User Name",""
"skipped","Sun Mar 24 00:57:50 GMT 2024","Sun Mar 24 00:57:50 GMT 2024","1","chromium","SmokeTests.spec.js","","","","Sign Out",""
