"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 05 01:00:58 GMT 2024","Fri Jul 05 01:00:58 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"skipped","Fri Jul 05 01:00:58 GMT 2024","Fri Jul 05 01:00:58 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"broken","Fri Jul 05 00:58:58 GMT 2024","Fri Jul 05 01:00:58 GMT 2024","120161","chromium","SmokeTests.spec.js","","","","Create Order",""
"passed","Fri Jul 05 00:58:44 GMT 2024","Fri Jul 05 00:58:58 GMT 2024","13877","chromium","SmokeTests.spec.js","","","","Login",""
