"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","FAQ page","chromium","Sat Nov 09 01:06:02 GMT 2024","skipped","Sat Nov 09 01:06:02 GMT 2024","","SmokeTests.spec.js","",""
"","17736","Login","chromium","Sat Nov 09 01:05:45 GMT 2024","failed","Sat Nov 09 01:06:02 GMT 2024","","SmokeTests.spec.js","",""
"","1","Create Order","chromium","Sat Nov 09 01:06:02 GMT 2024","skipped","Sat Nov 09 01:06:02 GMT 2024","","SmokeTests.spec.js","",""
"","1","Sign Out","chromium","Sat Nov 09 01:06:02 GMT 2024","skipped","Sat Nov 09 01:06:02 GMT 2024","","SmokeTests.spec.js","",""
