"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 09 01:02:09 GMT 2024","Tue Jul 09 01:02:09 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"passed","Tue Jul 09 00:59:53 GMT 2024","Tue Jul 09 01:00:09 GMT 2024","15963","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Tue Jul 09 01:02:09 GMT 2024","Tue Jul 09 01:02:09 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"broken","Tue Jul 09 01:00:09 GMT 2024","Tue Jul 09 01:02:09 GMT 2024","120161","chromium","SmokeTests.spec.js","","","","Create Order",""
