"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 01:00:29 GMT 2024","Thu Jul 25 01:00:43 GMT 2024","14069","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Thu Jul 25 01:02:48 GMT 2024","Thu Jul 25 01:02:48 GMT 2024","1","chromium","SmokeTests.spec.js","","","","FAQ page",""
"skipped","Thu Jul 25 01:02:48 GMT 2024","Thu Jul 25 01:02:48 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"broken","Thu Jul 25 01:00:43 GMT 2024","Thu Jul 25 01:02:48 GMT 2024","125056","chromium","SmokeTests.spec.js","","","","Create Order",""
