"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 25 01:09:35 GMT 2024","Fri Oct 25 01:09:35 GMT 2024","1","chromium","SmokeTests.spec.js","","","","Create Order",""
"failed","Fri Oct 25 01:09:13 GMT 2024","Fri Oct 25 01:09:35 GMT 2024","21972","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Fri Oct 25 01:09:35 GMT 2024","Fri Oct 25 01:09:35 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"skipped","Fri Oct 25 01:09:35 GMT 2024","Fri Oct 25 01:09:35 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
