"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon May 06 00:57:53 GMT 2024","Mon May 06 00:57:53 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"passed","Mon May 06 00:55:39 GMT 2024","Mon May 06 00:55:52 GMT 2024","13461","chromium","SmokeTests.spec.js","","","","Login",""
"skipped","Mon May 06 00:57:53 GMT 2024","Mon May 06 00:57:53 GMT 2024","0","chromium","SmokeTests.spec.js","","","","FAQ page",""
"broken","Mon May 06 00:55:52 GMT 2024","Mon May 06 00:57:53 GMT 2024","120173","chromium","SmokeTests.spec.js","","","","Create Order",""
