"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 08 01:08:15 GMT 2024","Tue Oct 08 01:08:15 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Create Order",""
"skipped","Tue Oct 08 01:08:15 GMT 2024","Tue Oct 08 01:08:15 GMT 2024","1","chromium","SmokeTests.spec.js","","","","FAQ page",""
"skipped","Tue Oct 08 01:08:15 GMT 2024","Tue Oct 08 01:08:15 GMT 2024","0","chromium","SmokeTests.spec.js","","","","Sign Out",""
"failed","Tue Oct 08 01:07:57 GMT 2024","Tue Oct 08 01:08:15 GMT 2024","17195","chromium","SmokeTests.spec.js","","","","Login",""
