"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Sign Out","chromium","Tue Nov 26 01:13:07 GMT 2024","skipped","Tue Nov 26 01:13:07 GMT 2024","","SmokeTests.spec.js","",""
"","0","FAQ page","chromium","Tue Nov 26 01:13:07 GMT 2024","skipped","Tue Nov 26 01:13:07 GMT 2024","","SmokeTests.spec.js","",""
"","0","Create Order","chromium","Tue Nov 26 01:13:07 GMT 2024","skipped","Tue Nov 26 01:13:07 GMT 2024","","SmokeTests.spec.js","",""
"","16369","Login","chromium","Tue Nov 26 01:12:50 GMT 2024","failed","Tue Nov 26 01:13:07 GMT 2024","","SmokeTests.spec.js","",""
